"File","Line","Method","Key","Len"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\battery_emulator\communication\nvm\comm_nvm.cpp","237","isKey","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\espnow\component_catalog_handlers.cpp","61","getUInt","INVCOMM","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\espnow\component_catalog_handlers.cpp","72","putUInt","INVCOMM","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\espnow\component_catalog_handlers.cpp","350","putUInt","INVCOMM","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","378","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","388","getBytes","gateway","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","427","putUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","431","putBytes","gateway","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","374","getUChar","soc_low","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","382","getBool","soc_est","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","384","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","517","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","687","getUChar","modules","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","692","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","888","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1046","getBool","nc_mode","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1051","getBool","per_bms","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1054","getUInt","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","389","getBytes","subnet","6"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","432","putBytes","subnet","6"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1047","getUShort","pwm_hz","6"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","686","getUChar","cells","5"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","387","getBytes","ip","2"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\network\ethernet_manager.cpp","430","putBytes","ip","2"
